顾客编号,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,商品单价,销售金额,是否促销
2,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040036,散称,生鲜,千克,0.636,1.8,1.1448,否
2,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030177,散称,生鲜,KG,1.922,3.18,6.11196,否
2,12,蔬果,1203,水果,120309,进口水果,20150101,201501,DW-1203090216,散称,生鲜,KG,0.278,15.9,4.4202,否
2,12,蔬果,1201,蔬菜,120105,鲜调味,20150101,201501,DW-1201050004,散称,生鲜,千克,0.299,5.98,1.78802,否
2,12,蔬果,1203,水果,120306,桃/李类,20150101,201501,DW-1203060094,散称,生鲜,KG,0.462,9.96,4.60152,否
2,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030177,散称,生鲜,KG,1.842,3.18,5.85756,否
2,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020043,散称,生鲜,千克,0.598,1.8,1.0764,否
2,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150128,201501,DW-1505010004,100g*6,一般商品,组,1,14.9,14.9,是
2,12,蔬果,1201,蔬菜,120106,菌菇类,20150128,201501,DW-1201060010,散称,生鲜,千克,0.418,9,3.762,否
2,12,蔬果,1203,水果,120303,梨类,20150128,201501,DW-1203030177,散称,生鲜,KG,1.859,3.18,5.91162,否
2,22,休闲,2202,糕点,220205,中式糕点,20150208,201502,DW-2202050141,散称,一般商品,KG,0.498,17.8,8.8644,是
2,22,休闲,2205,炒货,220513,香瓜子,20150208,201502,DW-2205130089,散装,一般商品,KG,0.436,13.8,6.0168,是
2,12,蔬果,1201,蔬菜,120102,根茎,20150208,201502,DW-1201020043,散称,生鲜,千克,0.518,1.8,0.9324,否
2,13,熟食,1308,现制中式面点,130801,现制蒸类,20150208,201502,DW-1308010191,散称,生鲜,千克,0.254,6,1.524,否
2,22,休闲,2205,炒货,220502,带壳花生,20150208,201502,DW-2205020048,散称,一般商品,kg,0.556,11.8,6.5608,是
2,22,休闲,2207,糖果,220709,玩具糖,20150208,201502,DW-2207090093,12g,一般商品,盒,1,1,1,否
2,12,蔬果,1201,蔬菜,120102,根茎,20150208,201502,DW-1201020721,散称,生鲜,千克,0.213,5,1.065,否
2,12,蔬果,1201,蔬菜,120101,叶菜,20150208,201502,DW-1201010004,散称,生鲜,千克,0.298,5.6,1.6688,否
2,12,蔬果,1201,蔬菜,120106,菌菇类,20150208,201502,DW-1201060003,散称,生鲜,千克,0.274,6.56,1.79744,否
2,22,休闲,2202,糕点,220208,散称糕点,20150208,201502,DW-2202080022,散称,一般商品,KG,0.592,15.8,9.3536,是
3,15,日配,1503,冷藏料理,150305,冷藏面食类,20150101,201501,DW-1503050035,500g,一般商品,袋,1,8.3,8.3,否
3,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020212,散称,生鲜,KG,1.244,4.98,6.19512,否
3,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020172,散称,生鲜,KG,0.504,11.98,6.03792,否
3,12,蔬果,1202,加工豆类,120201,豆腐,20150102,201501,DW-1202018267,块,生鲜,块,2,1.5,3,否
3,22,休闲,2205,炒货,220513,香瓜子,20150102,201501,DW-2205130089,散装,一般商品,KG,0.33,13.8,4.554,是
3,22,休闲,2207,糖果,220799,其他糖果,20150102,201501,DW-2207990018,散称,一般商品,千克,0.13,71,9.23,否
3,22,休闲,2209,巧克力,220999,其他巧克力,20150102,201501,DW-2209990038,散称,一般商品,kg,0.172,37.8,6.5016,否
3,10,肉禽,1001,猪肉,100101,鲜猪肉,20150107,201501,DW-1001010205,散称,生鲜,千克,0.548,19.8,10.8504,否
3,10,肉禽,1005,鸭产品,100502,分割鸭件,20150107,201501,DW-1005020002,散称,生鲜,千克,0.534,11.8,6.3012,否
3,12,蔬果,1203,水果,120303,梨类,20150210,201502,DW-1203030155,散称,生鲜,KG,0.696,11.98,8.33808,否
3,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150210,201502,DW-1505010011,100g*8,一般商品,组,1,15.9,15.9,否
3,20,粮油,2007,南北干货,200706,红枣,20150210,201502,DW-2007060065,散称,一般商品,kg,0.196,37.8,7.4088,否
3,23,酒饮,2316,香烟,231602,国产省外香烟,20150210,201502,DW-2316020040,20支,一般商品,包,10,14,140,否
3,11,水产,1103,干货水产,110302,干货虾蟹贝类,20150210,201502,DW-1103020061,散称,生鲜,千克,0.264,30,7.92,否
3,20,粮油,2007,南北干货,200705,桂圆,20150210,201502,DW-2007050037,散称,一般商品,kg,0.122,19.8,2.4156,否
3,23,酒饮,2316,香烟,231601,国产省内香烟,20150210,201502,DW-2316010005,20支,一般商品,包,10,12,120,否
3,13,熟食,1308,现制中式面点,130801,现制蒸类,20150212,201502,DW-1308010191,散称,生鲜,千克,0.376,6,2.256,否
3,12,蔬果,1201,蔬菜,120106,菌菇类,20150212,201502,DW-1201060003,散称,生鲜,千克,0.188,6.56,1.23328,否
3,22,休闲,2202,糕点,220208,散称糕点,20150212,201502,DW-2202080030, ,一般商品,KG,0.394,15.6,6.1464,是
3,20,粮油,2007,南北干货,200706,红枣,20150212,201502,DW-2007060065,散称,一般商品,kg,0.598,37.8,22.6044,是
3,20,粮油,2007,南北干货,200706,红枣,20150218,201502,DW-2007060065,散称,一般商品,kg,0.414,37.8,15.6492,是
3,12,蔬果,1203,水果,120301,柑桔柚类,20150218,201502,DW-1203010221,散称,生鲜,KG,0.762,15.98,12.17676,否
3,22,休闲,2206,即食熟制品,220605,鱼类,20150224,201502,DW-2206050171,散称,一般商品,kg,0.092,55.8,5.1336,否
3,22,休闲,2205,炒货,220511,锅巴,20150224,201502,DW-2205110007,63g,一般商品,袋,1,1.8,1.8,否
3,20,粮油,2007,南北干货,200705,桂圆,20150224,201502,DW-2007050037,散称,一般商品,kg,0.114,19.8,2.2572,是
3,22,休闲,2206,即食熟制品,220607,豆干类,20150224,201502,DW-2206070241,散称,一般商品,kg,0.25,39.8,9.95,否
3,12,蔬果,1201,蔬菜,120101,叶菜,20150312,201503,DW-1201010005,散称,生鲜,千克,0.284,5.8,1.6472,否
3,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150316,201503,DW-2002010013,125g*5,一般商品,组,1,17.3,17.3,否
3,12,蔬果,1201,蔬菜,120106,菌菇类,20150316,201503,DW-1201060003,散称,生鲜,千克,0.162,6.56,1.06272,否
3,12,蔬果,1201,蔬菜,120102,根茎,20150317,201503,DW-1201020037,散称,生鲜,千克,0.322,3.96,1.27512,否
3,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150317,201503,DW-1201070001,散称,生鲜,KG,0.38,5,1.9,否
3,13,熟食,1308,现制中式面点,130801,现制蒸类,20150322,201503,DW-1308010191,散称,生鲜,千克,0.518,6,3.108,否
3,12,蔬果,1201,蔬菜,120106,菌菇类,20150327,201503,DW-1201060010,散称,生鲜,千克,0.13,9,1.17,否
3,22,休闲,2206,即食熟制品,220607,豆干类,20150327,201503,DW-2206070241,散称,一般商品,kg,0.54,39.8,21.492,是
3,10,肉禽,1001,猪肉,100103,猪肉丝馅片,20150327,201503,DW-1001030041,散称,生鲜,千克,0.212,29.8,6.3176,否
3,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150328,201503,DW-1201070001,散称,生鲜,KG,0.514,5,2.57,否
3,20,粮油,2006,五谷杂粮,200601,散称白米,20150328,201503,DW-2006010003,散称,一般商品,千克,1.044,5.58,5.82552,否
3,10,肉禽,1001,猪肉,100101,鲜猪肉,20150329,201503,DW-1001010194,散称,生鲜,千克,0.136,29.8,4.0528,否
3,12,蔬果,1201,蔬菜,120106,菌菇类,20150329,201503,DW-1201060005,散称,生鲜,千克,0.382,12,4.584,否
3,12,蔬果,1201,蔬菜,120104,花果,20150329,201503,DW-1201040026,散称,生鲜,千克,0.857,1.98,1.69686,否
3,12,蔬果,1201,蔬菜,120102,根茎,20150329,201503,DW-1201020044,散称,生鲜,千克,0.45,3.96,1.782,否
3,12,蔬果,1201,蔬菜,120104,花果,20150329,201503,DW-1201040035,散称,生鲜,千克,0.14,9.6,1.344,否
3,12,蔬果,1203,水果,120306,桃/李类,20150410,201504,DW-1203060094,散称,生鲜,KG,0.552,9.96,5.49792,否
3,13,熟食,1308,现制中式面点,130803,现制烙类,20150411,201504,DW-1308030035,个,生鲜,个,2,1,2,否
3,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150411,201504,DW-1201070001,散称,生鲜,KG,0.498,5,2.49,否
3,22,休闲,2202,糕点,220205,中式糕点,20150411,201504,DW-2202050139,散称,一般商品,KG,0.362,19.6,7.0952,是
3,12,蔬果,1203,水果,120309,进口水果,20150411,201504,DW-1203090216,散称,生鲜,KG,0.268,15.9,4.2612,否
3,13,熟食,1308,现制中式面点,130801,现制蒸类,20150417,201504,DW-1308010191,散称,生鲜,千克,0.57,6,3.42,否
3,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150417,201504,DW-2002010081,103g*5,一般商品,包,1,11.9,11.9,否
3,12,蔬果,1201,蔬菜,120106,菌菇类,20150417,201504,DW-1201060010,散称,生鲜,千克,0.076,9,0.684,否
3,15,日配,1521,蛋类,152101,新鲜蛋品,20150424,201504,DW-1521010005,散称,一般商品,千克,1.78,6.78,12.0684,否
3,13,熟食,1308,现制中式面点,130803,现制烙类,20150424,201504,DW-1308030035,个,生鲜,个,2,1,2,否
4,15,日配,1505,冷藏乳品,150502,冷藏加味酸乳,20150101,201501,DW-1505020020,100g*8,一般商品,袋,1,11.9,11.9,否
4,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040026,散称,生鲜,千克,0.686,1.98,1.35828,否
4,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010005,散称,一般商品,千克,0.862,6.78,5.84436,否
4,23,酒饮,2307,乳饮料,230703,纯味酸乳饮,20150101,201501,DW-2307030003,125ml,一般商品,盒,4,2.2,8.8,否
4,30,洗化,3013,口腔卫生用品,301306,口腔清洁用品,20150401,201504,DW-3013060021,120ml,一般商品,瓶,1,9.5,9.5,否
4,30,洗化,3013,口腔卫生用品,301306,口腔清洁用品,20150401,201504,DW-3013060022,250ml,一般商品,瓶,1,16.9,16.9,否
4,30,洗化,3016,纸制品,301609,湿巾纸,20150401,201504,DW-3016090053,10片,一般商品,包,1,3.9,3.9,是
4,12,蔬果,1203,水果,120313,其它水果,20150401,201504,DW-1203130446,散称,生鲜,KG,0.54,30,16.2,否
4,30,洗化,3002,浴厕厨清洁剂,300202,洁厕剂,20150401,201504,DW-3002020021,50g,一般商品,板,1,4.9,4.9,否
4,12,蔬果,1201,蔬菜,120106,菌菇类,20150413,201504,DW-1201060004,散称,生鲜,千克,0.284,16.8,4.7712,否
4,12,蔬果,1203,水果,120309,进口水果,20150413,201504,DW-1203090210,散称,生鲜,KG,0.452,17.6,7.9552,否
4,12,蔬果,1201,蔬菜,120105,鲜调味,20150413,201504,DW-1201050011,散称,生鲜,千克,0.48,6.56,3.1488,否
4,10,肉禽,1001,猪肉,100104,猪骨,20150413,201504,DW-1001040135,散称,生鲜,千克,0.78,25.6,19.968,否
4,12,蔬果,1201,蔬菜,120101,叶菜,20150413,201504,DW-1201010025,散称,生鲜,千克,0.55,3.96,2.178,否
4,12,蔬果,1201,蔬菜,120104,花果,20150413,201504,DW-1201040010,散称,生鲜,千克,0.702,2.58,1.81116,否
4,15,日配,1521,蛋类,152101,新鲜蛋品,20150413,201504,DW-1521010005,散称,一般商品,千克,0.758,6.78,5.13924,否
4,12,蔬果,1201,蔬菜,120102,根茎,20150413,201504,DW-1201020361,散称,生鲜,kg,0.826,56,46.256,否
4,15,日配,1509,冷冻蔬菜肉品,150904,冷冻蔬菜类,20150413,201504,DW-1509040052,700g,一般商品,袋,1,13.3,13.3,否
5,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020109,10片,一般商品,包,1,8.9,8.9,否
5,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020117,4片,一般商品,包,1,4.7,4.7,否
5,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020125,4片,一般商品,包,1,8.7,8.7,是
5,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020126,4+1片,一般商品,包,1,7.9,7.9,否
5,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150112,201501,DW-1517010003,60g*10,一般商品,袋,1,16.3,16.3,是
5,20,粮油,2001,袋装速食面,200199,其他袋装面,20150112,201501,DW-2001990001,70g,一般商品,袋,1,1.3,1.3,否
5,10,肉禽,1001,猪肉,100101,鲜猪肉,20150112,201501,DW-1001010195,散称,生鲜,千克,0.482,27.8,13.3996,否
5,20,粮油,2014,酱菜类,201405,腐乳,20150326,201503,DW-2014050016,295g,一般商品,瓶,1,7.9,7.9,否
5,30,洗化,3013,口腔卫生用品,301301,成人牙膏,20150326,201503,DW-3013010699,180g,一般商品,支,1,14.9,14.9,否
5,20,粮油,2013,调味酱,201302,辣酱,20150326,201503,DW-2013020105,280g,一般商品,瓶,1,7.9,7.9,否
5,20,粮油,2009,盐/糖,200902,功能盐,20150326,201503,DW-2009020015,400g,一般商品,袋,1,2.8,2.8,否
5,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150401,201504,DW-1517010002,40g*10,一般商品,袋,1,13.3,13.3,否
5,12,蔬果,1201,蔬菜,120101,叶菜,20150401,201504,DW-1201010006,散称,生鲜,千克,0.07,12,0.84,否
5,20,粮油,2005,煮食面/粉,200501,挂面,20150401,201504,DW-2005010010,350g*2,一般商品,组,1,5.3,5.3,否
5,20,粮油,2006,五谷杂粮,200603,常规面粉,20150404,201504,DW-2006030185,5kg,一般商品,袋,1,28.9,28.9,否
6,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040022,散称,生鲜,千克,0.964,5.6,5.3984,否
6,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,0.47,2.58,1.2126,否
6,15,日配,1521,蛋类,152104,咸蛋,20150101,201501,DW-1521040033,散称,一般商品,千克,0.774,19,14.706,否
6,10,肉禽,1001,猪肉,100104,猪骨,20150205,201502,DW-1001040125,散称,生鲜,千克,0.596,41.8,24.9128,否
6,20,粮油,2011,液体调料,201111,料酒,20150205,201502,DW-2011110013,500mL,一般商品,瓶,1,3.9,3.9,否
6,12,蔬果,1201,蔬菜,120101,叶菜,20150205,201502,DW-1201010395,散称,生鲜,Kg,0.505,6,3.03,否
6,20,粮油,2011,液体调料,201107,滴醋,20150205,201502,DW-2011070002,500mL,一般商品,瓶,1,4.2,4.2,否
6,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150205,201502,DW-1202048043,散称,生鲜,千克,0.29,6.96,2.0184,否
6,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150205,201502,DW-1201070001,散称,生鲜,KG,0.586,5,2.93,否
6,20,粮油,2011,液体调料,201104,其他酱油,20150205,201502,DW-2011040003,410ml,一般商品,瓶,1,8.9,8.9,否
6,11,水产,1101,冰鲜水产,110107,贝蛤类,20150205,201502,DW-1101070017,散称,生鲜,kg,0.526,30,15.78,否
6,31,家居,3119,卫浴用品,311908,热水袋,20150330,201503,DW-3119080072,sp1701,一般商品,只,1,20,20,是
6,12,蔬果,1202,加工豆类,120205,豆类料理,20150401,201504,DW-1202058136,散称,生鲜,kg,0.654,8.6,5.6244,否
6,12,蔬果,1203,水果,120313,其它水果,20150401,201504,DW-1203130444,散称,生鲜,KG,0.572,10,5.72,否
6,12,蔬果,1201,蔬菜,120101,叶菜,20150401,201504,DW-1201010021,散称,生鲜,千克,0.252,6.56,1.65312,否
6,12,蔬果,1205,其它加工,120501,咸菜干货,20150401,201504,DW-1205010021,散称,生鲜,kg,0.618,2,1.236,否
6,12,蔬果,1201,蔬菜,120104,花果,20150405,201504,DW-1201040035,散称,生鲜,千克,0.294,9.6,2.8224,否
6,12,蔬果,1201,蔬菜,120104,花果,20150429,201504,DW-1201040010,散称,生鲜,千克,0.57,2.58,1.4706,否
6,12,蔬果,1201,蔬菜,120104,花果,20150429,201504,DW-1201040026,散称,生鲜,千克,0.568,1.98,1.12464,否
6,12,蔬果,1203,水果,120305,瓜类,20150429,201504,DW-1203050092,散称,生鲜,KG,1.748,2,3.496,否
6,20,粮油,2011,液体调料,201104,其他酱油,20150429,201504,DW-2011040009,150ml,一般商品,瓶,13,4.7,61.1,是
7,20,粮油,2001,袋装速食面,200101,牛肉口味,20150101,201501,DW-2001010062,120g,一般商品,袋,1,3,3,否
7,34,针织,3412,毯子,341206,双人电热毯,20150101,201501,DW-3412060037,150*120,一般商品,条,1,90,90,是
7,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010001,散称,生鲜,千克,0.12,5.56,0.6672,否
7,20,粮油,2001,袋装速食面,200102,猪肉口味,20150101,201501,DW-2001020021,82.6g,一般商品,袋,1,3,3,否
7,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150101,201501,DW-2002010013,125g*5,一般商品,组,1,17.3,17.3,否
7,20,粮油,2006,五谷杂粮,200605,饺子粉,20150104,201501,DW-2006050003,5kg,一般商品,袋,1,35.9,35.9,否
7,10,肉禽,1001,猪肉,100101,鲜猪肉,20150326,201503,DW-1001010205,散称,生鲜,千克,0.232,19.8,4.5936,否
7,12,蔬果,1201,蔬菜,120102,根茎,20150326,201503,DW-1201020022,散称,生鲜,千克,0.928,6.56,6.08768,否
7,22,休闲,2205,炒货,220512,豆类,20150326,201503,DW-2205120087,散称,一般商品,kg,0.048,19.8,0.9504,是
7,22,休闲,2202,糕点,220208,散称糕点,20150326,201503,DW-2202080013,散称,一般商品,kg,0.264,31.8,8.3952,是
7,21,冲调,2105,冲调食品,210501,麦片/粉,20150326,201503,DW-2105010015,700g,一般商品,袋,1,32,32,否
7,22,休闲,2202,糕点,220208,散称糕点,20150326,201503,DW-2202080007,散称,一般商品,kg,0.356,19,6.764,是
7,10,肉禽,1001,猪肉,100101,鲜猪肉,20150326,201503,DW-1001010205,散称,生鲜,千克,0.292,19.8,5.7816,否
7,12,蔬果,1201,蔬菜,120102,根茎,20150326,201503,DW-1201020042,散称,生鲜,千克,0.36,7.8,2.808,否
7,12,蔬果,1201,蔬菜,120101,叶菜,20150413,201504,DW-1201010006,散称,生鲜,千克,0.098,12,1.176,否
7,12,蔬果,1201,蔬菜,120101,叶菜,20150413,201504,DW-1201010019,散称,生鲜,千克,1.104,1.96,2.16384,否
7,11,水产,1103,干货水产,110302,干货虾蟹贝类,20150413,201504,DW-1103020061,散称,生鲜,千克,0.364,30,10.92,否
7,12,蔬果,1201,蔬菜,120101,叶菜,20150429,201504,DW-1201010001,散称,生鲜,千克,0.248,5.56,1.37888,否
7,22,休闲,2206,即食熟制品,220608,肉松,20150429,201504,DW-2206080052,78g,一般商品,袋,1,12.5,12.5,否
7,20,粮油,2014,酱菜类,201404,蔬菜,20150429,201504,DW-2014040189,40g,一般商品,袋,1,2.7,2.7,否
7,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150429,201504,DW-1505040040,340ml*2,一般商品,瓶,1,9.9,9.9,否
7,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150429,201504,DW-1201070001,散称,生鲜,KG,0.68,5,3.4,否
7,12,蔬果,1201,蔬菜,120101,叶菜,20150429,201504,DW-1201010005,散称,生鲜,千克,0.556,5.8,3.2248,否
7,20,粮油,2014,酱菜类,201401,榨菜,20150429,201504,DW-2014010011,60g,一般商品,袋,2,0.5,1,否
7,12,蔬果,1201,蔬菜,120104,花果,20150429,201504,DW-1201040035,散称,生鲜,千克,0.386,9.6,3.7056,否
8,13,熟食,1308,现制中式面点,130803,现制烙类,20150101,201501,DW-1308030035,个,生鲜,个,2,1,2,否
8,15,日配,1518,常温乳品,151801,利乐砖纯奶,20150101,201501,DW-1518010020,250ml*12,一般商品,提,1,65,65,是
8,15,日配,1518,常温乳品,151803,利乐砖营养奶,20150101,201501,DW-1518030029,250ml*12,一般商品,箱,1,62,62,否
8,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030177,散称,生鲜,KG,1.352,3.18,4.29936,否
8,13,熟食,1308,现制中式面点,130801,现制蒸类,20150101,201501,DW-1308010192,个,生鲜,个,4,0.5,2,否
8,12,蔬果,1201,蔬菜,120104,花果,20150104,201501,DW-1201040049,散称,生鲜,千克,0.353,5.8,2.0474,否
8,12,蔬果,1201,蔬菜,120104,花果,20150121,201501,DW-1201040026,散称,生鲜,千克,0.326,1.98,0.64548,否
8,12,蔬果,1201,蔬菜,120106,菌菇类,20150121,201501,DW-1201060004,散称,生鲜,千克,0.416,16.8,6.9888,否
8,15,日配,1515,冷冻火锅类,151503,火锅丸类,20150121,201501,DW-1515030007,散称,一般商品,千克,0.892,32.6,29.0792,是
8,12,蔬果,1203,水果,120309,进口水果,20150121,201501,DW-1203090210,散称,生鲜,KG,0.998,17.6,17.5648,否
8,10,肉禽,1001,猪肉,100101,鲜猪肉,20150128,201501,DW-1001010191,散称,生鲜,千克,0.37,29.8,11.026,否
8,30,洗化,3016,纸制品,301608,软抽纸巾,20150128,201501,DW-3016080270,400张*6,一般商品,提,1,13.9,13.9,是
8,12,蔬果,1201,蔬菜,120102,根茎,20150316,201503,DW-1201020010,散称,生鲜,千克,0.335,3.8,1.273,否
8,22,休闲,2202,糕点,220205,中式糕点,20150316,201503,DW-2202050126,散称,一般商品,kg,0.336,39.6,13.3056,是
8,22,休闲,2202,糕点,220208,散称糕点,20150316,201503,DW-2202080013,散称,一般商品,kg,0.35,31.8,11.13,是
8,12,蔬果,1203,水果,120309,进口水果,20150316,201503,DW-1203090210,散称,生鲜,KG,0.498,17.6,8.7648,否
8,10,肉禽,1001,猪肉,100104,猪骨,20150318,201503,DW-1001040125,散称,生鲜,千克,1.116,41.8,46.6488,否
8,12,蔬果,1201,蔬菜,120104,花果,20150324,201503,DW-1201040035,散称,生鲜,千克,0.24,9.6,2.304,否
8,10,肉禽,1001,猪肉,100101,鲜猪肉,20150324,201503,DW-1001010195,散称,生鲜,千克,0.264,27.8,7.3392,否
8,12,蔬果,1201,蔬菜,120102,根茎,20150324,201503,DW-1201020722,散称,生鲜,KG,0.346,20,6.92,否
8,23,酒饮,2301,碳酸饮料,230102,原味型,20150329,201503,DW-2301020028,550ml,一般商品,瓶,1,2.5,2.5,否
8,30,洗化,3013,口腔卫生用品,301301,成人牙膏,20150329,201503,DW-3013010548,145g,一般商品,支,1,19.9,19.9,是
8,23,酒饮,2305,净水,230502,国产矿水,20150329,201503,DW-2305020011,1.5L,一般商品,瓶,1,2.7,2.7,否
8,15,日配,1508,冷冻点心,150801,冷冻面食,20150415,201504,DW-1508010041,2.25kg,一般商品,盒,1,43.7,43.7,是
8,10,肉禽,1004,鸡产品,100402,分割鸡件,20150415,201504,DW-1004020004,散称,生鲜,千克,0.332,17.6,5.8432,否
8,15,日配,1521,蛋类,152101,新鲜蛋品,20150415,201504,DW-1521010022,散称,一般商品,kg,1.656,14,23.184,否
8,12,蔬果,1201,蔬菜,120102,根茎,20150415,201504,DW-1201020722,散称,生鲜,KG,0.37,20,7.4,否
8,20,粮油,2008,调味料,200807,调理粉,20150415,201504,DW-2008070025,45g,一般商品,袋,1,3.3,3.3,否
9,22,休闲,2203,膨化点心,220302,袋装薯片,20150101,201501,DW-2203020029,45g,一般商品,袋,1,4,4,否
9,22,休闲,2201,饼干,220111,趣味/休闲,20150101,201501,DW-2201110105,45g,一般商品,盒,1,6.9,6.9,否
9,22,休闲,2206,即食熟制品,220601,牛肉干,20150101,201501,DW-2206010154,68g,一般商品,袋,1,12.5,12.5,否
9,15,日配,1505,冷藏乳品,150503,冷藏果粒酸乳,20150101,201501,DW-1505030009,450g,一般商品,盒,1,11.8,11.8,否
9,22,休闲,2206,即食熟制品,220601,牛肉干,20150101,201501,DW-2206010023,60g,一般商品,袋,1,10.9,10.9,否
9,22,休闲,2201,饼干,220111,趣味/休闲,20150101,201501,DW-2201110152,50g,一般商品,盒,1,6,6,否
9,23,酒饮,2303,果汁饮料,230399,其他果汁饮料,20150101,201501,DW-2303990061,445ml,一般商品,瓶,1,4.5,4.5,否
9,22,休闲,2206,即食熟制品,220601,牛肉干,20150101,201501,DW-2206010014,40g,一般商品,袋,1,11.9,11.9,否
9,30,洗化,3003,芳香防霉剂,300302,喷雾式芳香剂,20150113,201501,DW-3003020023,320ml,一般商品,瓶,1,11.9,11.9,否
10,22,休闲,2201,饼干,220111,趣味/休闲,20150101,201501,DW-2201110227,60g,一般商品,盒,1,6.7,6.7,否
10,15,日配,1505,冷藏乳品,150503,冷藏果粒酸乳,20150101,201501,DW-1505030022,260g,一般商品,盒,1,8.9,8.9,是
10,22,休闲,2202,糕点,220201,派,20150101,201501,DW-2202010025,198g,一般商品,盒,1,9.7,9.7,否
10,30,洗化,3006,洗衣用品,300602,洗衣液,20150101,201501,DW-3006020294,2kg,一般商品,桶,1,24.9,24.9,否
10,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010001,散称,一般商品,千克,2.214,19.8,43.8372,否
10,30,洗化,3018,卫生巾,301801,日用卫生巾,20150101,201501,DW-3018010157,10片,一般商品,包,1,3.9,3.9,否
10,12,蔬果,1201,蔬菜,120105,鲜调味,20150101,201501,DW-1201050011,散称,生鲜,千克,0.573,6.56,3.75888,否
10,20,粮油,2014,酱菜类,201404,蔬菜,20150101,201501,DW-2014040135,80g,一般商品,袋,5,1.7,8.5,是
10,22,休闲,2202,糕点,220201,派,20150101,201501,DW-2202010005,25g*6,一般商品,盒,1,9.9,9.9,否
